Gene	SJMMALZ058765_G1	SJMMALZ058766_G1	SJMMALZ058768_G1	SJMMALZ058769_G1	SJMMALZ058771_G1	SJMMALZ058772_G1	SJMMALZ058773_G1	SJMMALZ058774_G1	SJMMALZ058775_G1	SJMMALZ058776_G1	SJMMALZ058778_G1	SJMMALZ058779_G1	SJMMALZ058780_G1	SJMMALZ058781_G1	SJMMALZ058782_G1
ENSMUSG00000065057	0	0	0	1	0	0	0	0	4	0	0	1	1	0	0
ENSMUSG00000065055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042647	499	503	588	621	309	485	396	378	610	723	279	668	595	519	273
ENSMUSG00000065053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035382	5406	5225	6419	6700	3247	4292	4293	4189	4515	6939	3385	5860	4625	4812	3006
ENSMUSG00000035383	8	5	4	4	0	3	5	2	8	14	9	8	2	14	2
ENSMUSG00000042641	848	593	898	512	377	570	575	799	809	827	357	557	538	812	367
ENSMUSG00000044786	567	954	968	1278	535	526	580	597	1084	1805	403	1419	889	1477	524
ENSMUSG00000035385	14	10	35	19	1	13	1	6	29	45	11	64	32	35	4
ENSMUSG00000035387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044783	17953	15507	20281	19886	11864	15406	15234	18787	18906	25172	11173	19849	18107	21040	11284
ENSMUSG00000042659	991	1204	1331	1485	681	1017	860	1114	1613	2556	695	2073	1185	1543	599
ENSMUSG00000059814	15148	17505	19497	20421	9872	13947	10758	12363	14972	19394	10107	17593	13730	13656	9721
ENSMUSG00000030909	13	34	34	36	13	19	34	3	7	36	13	20	18	22	5
ENSMUSG00000059816	1	1	4	6	0	0	3	1	3	5	0	1	0	0	0
ENSMUSG00000042655	20	17	14	42	19	26	12	36	17	46	24	71	27	21	14
ENSMUSG00000067321	61	91	71	81	30	70	68	60	105	110	45	115	117	67	30
ENSMUSG00000030905	6286	13739	8303	16016	4498	8195	6292	1933	7234	11139	8777	11504	5641	5601	4450
ENSMUSG00000044798	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000044794	1086	974	1465	1290	920	1343	1001	1502	1317	1942	736	1106	1091	804	716
ENSMUSG00000044795	2961	2954	3288	3039	2082	2809	2181	2922	3178	3970	1928	3408	2754	2941	1765
